fast_id,status,region_code,region_name,unit_code,unit_name,unit_type,mapped_place,latitude,longitude,recipient,title,assistance_listing,program,doi_decision_date,project_abstract,project_impact,review_notes,fed_funding_this_action
2387,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,NATIONAL EXPERIENCED WORKFORCE SOLUTIONS,Chesapeake Outdoor Recreation Economy Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project will evaluate how the Chesapeake Bay region's outdoor recreation economy is represented in national and state economic datasets by reviewing existing methodologies, identifying data gaps, and assessing whether important sectors such as boating, fishing, heritage tourism, paddling, and working waterfronts are accurately captured. Through stakeholder engagement, analysis, and strategic planning, the project will develop recommendations and an action plan to improve data quality, strengthen regional coordination, and help Chesapeake Bay partners better demonstrate the economic value of outdoor recreation to support future investments, funding opportunities, and decision-making.","If not awarded, Chesapeake Gateways and its partners will lack the data analysis, stakeholder coordination, and strategic planning needed to accurately represent the region’s outdoor recreation economy. Opportunities to improve economic outcomes, strengthen partnerships, and address gaps in recreation data and reporting across the watershed could be delayed or missed.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2387 titled ' Chesapeake Outdoor Recreation Economy Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
2396,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,National Experienced Workforce Solutions,Chesapeake Watershed Conservation Strategy Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"The Recipient will provide an enrollee under the Experienced Services Program, who will conduct research, analysis, and synthesis of conservation models, case studies, and partnership frameworks (including landscape-scale initiatives, conservation finance tools, and governance structures) to identify approaches relevant to Chesapeake Bay watershed priorities.","If not awarded, opportunities to advance coordinated, landscape-scale conservation across the Chesapeake Bay watershed may be delayed or lost. This would limit partner collaboration, reduce the ability to identify and implement innovative conservation strategies, and hinder progress toward shared stewardship, connectivity, and long-term resilience goals across the region.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2396 titled 'Chesapeake Watershed Conservation Strategy Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
2397,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,National Experienced Workforce Solutions,Landscape Resilience and Partner Support for Chesapeake Sentinel Landscapes,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project will support the identification and tracking of land parcels within Sentinel Landscape regions that are important to advancing the goals of the Sentinel Landscapes Program, including preserving military readiness, conserving natural resources, supporting agriculture and working lands, improving habitat resilience, fostering partnerships, and expanding community recreational opportunities. Identifying priority parcels within and near Sentinel Landscapes is important because it helps focus conservation and land-use efforts on areas where protection and strategic management can provide the greatest benefits across multiple objectives, including preserving compatible land uses, sustaining ecosystem functions, and maintaining long-term landscape connectivity. The Sentinel Landscapes Partnership is a collaborative effort among the Department of War, Department of Agriculture, and Department of the Interior.","If not awarded, opportunities to identify and advance conservation and compatibility projects supporting military readiness and landscape-scale resilience across the Chesapeake watershed may be delayed or missed. This would reduce coordination among partners, limit strategic conservation planning efforts, and hinder development of future investment priorities.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2397 titled 'Landscape Resilience and Partner Support for Chesapeake Sentinel Landscapes ,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
2440,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,NATIONAL EXPERIENCED WORKFORCE SOLUTIONS,Chesapeake Gateway Network Experiences Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project will strengthen the Chesapeake Gateways Network by recruiting an experienced worker to identify and recruit to join the Network high-quality experiences such as guided tours, walks, rides, and sails. Through targeted outreach and tailored technical assistance, the position will accelerate partner onboarding and expand Network outdoor recreation and heritage tourism opportunities available to the public. This work directly advances the National Park Service’s responsibilities under the Chesapeake Bay Initiative Act of 1998 to enhance public access, interpretation, and stewardship across the watershed.","If not awarded, the National Park Service will lack surge capacity to strategically recruit and support new Experiences partners within the Chesapeake Gateways Network, slowing expansion and reducing geographic and sector representation. This will limit the agency’s ability to efficiently fulfill its mandate under the Chesapeake Bay Initiative Act.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2440 titled 'Chesapeake Gateway Network Experiences Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
2441,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,NATIONAL EXPERIENCED WORKFORCE SOLUTIONS,Cheseapeake Bay Storytellers Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project will modernize and scale the Chesapeake Bay Storytellers training program for the Chesapeake Gateways Network by developing a modular curriculum, certification framework, and sustainable delivery model. The effort strengthens interpretive excellence and partner capacity, enhancing the National Park Service’s ability to effectively carry out its statutory mandate under the Chesapeake Bay Initiative Act.","If not awarded, the National Park Service will lack capacity to modernize and scale storytelling training across the Chesapeake Gateways Network, resulting in inconsistent interpretive quality and reduced partner engagement—limiting the agency’s effectiveness in fulfilling its mandate under the Chesapeake Bay Initiative Act.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2441 titled 'Cheseapeake Bay Storytellers Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
2445,Disapproved,NER,Northeast,CHBA,Chesapeake Bay Office / Chesapeake Gateways Network,"office, program, or network","Annapolis, Maryland",38.9786,-76.4928,NATIONAL EXPERIENCED WORKFORCE SOLUTIONS,Chesapeake Bay Network Site Accessibility Planning Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project will conduct site assessments, accessibility audits, feasibility reviews, and stakeholder engagement activities at Chesapeake Gateway locations to identify barriers, infrastructure needs, environmental resilience issues, and opportunities for improving public access and visitor experiences. The work will produce concept-level recommendations, implementation plans, funding strategies, and communication materials that help Chesapeake Bay Gateways and its partners prioritize projects, pursue grants and partnerships, and advance long-term accessibility, recreation, and resilience goals across the network.","If not awarded, Chesapeake Gateways and its partners may lack the capacity to assess accessibility, public access, environmental conditions, and visitor needs at priority sites. Planning, stakeholder coordination, and development of actionable strategies, funding opportunities, and implementation frameworks for future improvements could be delayed or limited.","7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2445 titled 'Chesapeake Bay Network Site Accessibility Planning Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",49329.00
1968,Disapproved,IMR,Intermountain,CHIC,Chickasaw National Recreation Area,park unit,Chickasaw National Recreation Area,34.4555,-96.9977,National Council on Public History,Comprehensive Administrative History of Chickasaw National Recreation Area,15.945 Cooperative Research and Training Programs (CESU),Research and training (CESU),2026-08-07,"This project will produce the first complete administrative history of Chickasaw National Recreation Area, covering 1902–2024. A project historian will synthesize prior studies, conduct new primary-source research, and complete 15–20 oral history interviews with staff, partners, and community members. The work includes creating a fully documented narrative, developing supporting materials such as maps, photographs, and appendices, and preparing a print-ready final report. All collected materials will be archived for long-term public and park use and will support future management, interpretation, and tribal engagement.","If not funded critical information in an administrative history (e.g. land acquisition history, co-management issues, tornado recovery) may remain uncollected or at risk of permanent loss. Park managers will lack a complete, reliable historical record to guide decision-making, interpretation, and tribal consultation.","05/07/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1968 titled 'Comprehensive Administrative History of Chickasaw National Recreation Area,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",200700.00
1261,Disapproved,WASO,National (WASO),CRAD,Cultural Resources Directorate,"office, program, or network","NPS headquarters, Washington, DC",38.8939,-77.0427,New Solutions,Web and Print Media Program 508 compliance.,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project will support the Cultural Resources Directorate in converting and consolidating web and print media into a comprehensive document repository. The focus will be on ensuring that all materials meet accessibility and compliance standards. Key activities include organizing existing information and records to enhance access for users. The project aims to improve the management of cultural resources, benefiting researchers, educators, and the public.",If additional funding is not approved the Government will lose significant inexpensive labor to complete mandatory tasks.,"03/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1261 titled 'Web and Print Media Program 508 compliance,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",60429.00
1674,Disapproved,PWR,Pacific West,CRMO,Craters of the Moon National Monument and Preserve,park unit,Craters of the Moon National Monument and Preserve,43.4044,-113.5061,THE GREAT BASIN INSTITUTE,"Geographic Information System (GIS) Specialist for South Idaho Parks, Upper Columbia Basin Network, and Nez Perce National Historic Sites",15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project will hire a youth Geographic Information System (GIS) Specialist research associate to support the Resources Divisions at South Idaho Parks (Craters of the Moon National Monument and Preserve, Hagerman Fossil Beds National Monument, and Minidoka National Historic Site), Upper Columbia Basin Network, and Nez Perce National Historic Sites. The intern will organize existing spatial data, modernize data collection methods, and create clear digital tools such as maps, surveys, and dashboards. The GIS specialist will work with staff to standardize how information is collected, stored, and documented so data is easier to find and use. The project will also secure older records to be preserved for long-term use. The work will provide staff with reliable information that supports better planning, resource care, and day-to-day decision-making.","Without support, South Idaho Parks, Upper Columbia Basin Network, and Nez Perce National Historic Sites will continue to face disorganized data, outdated methods, and the risk of losing important information as staff changes. These gaps would lead to slower decisions, reduced efficiency, and weaker protection of park resources.","6/5/2026: NPS review complete. Ready for DOI review. 06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1674 titled 'Geographic Information System (GIS) Specialist for South Idaho Parks, Upper Columbia Basin Network, and Nez Perce National Historic Sites,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",102731.07
2104,Disapproved,PWR,Pacific West,CRMO,Craters of the Moon National Monument and Preserve,park unit,Craters of the Moon National Monument and Preserve,43.4044,-113.5061,"National Experienced Workforce Solutions, Inc.",Craters of the Moon Communications and Public Affairs,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"The Recipient will provide an enrollee under the Experienced Services Program, who will assist Southern Idaho Parks (Craters of the Moon National Monument and Preserve, Hagerman Fossil Beds National Monument, and Minidoka National Historic Site) with strategic communications and public affairs, as well as Centennial celebration planning for the park. This includes strategic communication plans and liaising with the Pacific West Regional Office as well as copyediting park-level documents.","If these tasks are not completed, there could be a significant breakdown in communication, leading to misinformation and disorganization during critical events. Additionally, the lack of proper documentation and media training may hinder the effectiveness of public outreach efforts, damaging the organization's reputation and stakeholder relations.","06/23/2026: Abstract edited, ready for DOI review. 06/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2104 titled 'Craters of the Moon Communications and Public Affairs,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",15000.00
2683,Disapproved,PWR,Pacific West,CRMO,Craters of the Moon National Monument and Preserve,park unit,Craters of the Moon National Monument and Preserve,43.4044,-113.5061,The Great Basin Institute,Resource Associates at Southern Idaho Parks,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"Interns and resource associates will support natural and cultural resource management across three parks in southern Idaho (Craters of the Moon National Monument and Preserve, Hagerman Fossil Beds National Monument, and Minidoka National Historic Site). Activities include surveying and treating invasive plants, monitoring native vegetation, maintaining equipment, and assisting with restoration planning. A GIS associate will organize and analyze spatial data, develop digital tools, and train staff in mapping technologies. Participants will work alongside park staff, gaining hands-on experience in land stewardship, data collection, and project implementation. Deliverables include vegetation treatment records, GIS products, reports, and improved resource management capacity. The project benefits park ecosystems, staff, and interns preparing for careers in conservation and land management.","Without extension, invasive plant treatment and vegetation monitoring will be delayed, risking long-term ecological damage. GIS support for resource planning will be reduced, limiting data-driven decision-making. The opportunity to train future conservation professionals and strengthen park resource management will be lost.","06/03/2026: Submitted for DOI review.. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2683 titled 'Resource Associates at Southern Idaho Parks,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",33950.25
1821,Disapproved,AKR,Alaska,DENA,Denali National Park and Preserve,park unit,Denali National Park and Preserve,63.3263,-150.603,"THE STUDENT CONSERVATION ASSOCIATION, INC.",Denali National Park and Preserve Kennels Youth Intern Program,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project places three youth interns for 25 weeks at the historic sled dog kennels in Denali National Park and Preserve. Interns will learn hands-on dog care, training, winter travel, and visitor engagement skills. They will support daily kennel operations, help train sled dogs, assist with winter patrol preparation, and share the story of sled dog traditions with visitors. The project provides practical skills in animal care, outdoor safety, and public communication. Outcomes include well-cared-for dogs, informed visitors, safer winter patrols, and youth gaining job skills that support future conservation careers.","Without funding, kennel operations will lose essential support, reducing dog care capacity, limiting winter patrol readiness, and decreasing visitor engagement. The project is necessary to improve and enhance the care for the National Park Service animals.","5/26/2026: NPS Review Complete, Ready for DOI Review. 05/27/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1821 titled 'Denali National Park and Preserve Kennels Youth Intern Program,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",90000.76
2020,Disapproved,PWR,Pacific West,DEVA,Death Valley National Park,park unit,Death Valley National Park,36.5668,-117.1388,The Great Basin Institute,Cultural Resource Specialist - Priority Infrastructure and Resource Work,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This project will develop and support a cultural resource specialist who will assist the park by completing priority National Environmental Policy Act and National Historic Preservation Act Section 106 compliance activities. This will result in expedited project work for the park, including quicker responses for the construction, maintenance, and repair of infrastructure, natural and cultural resource projects, and projects to maintain historic properties in Death Valley National Park for the benefit and safety of visitors.","If unfunded, response times on NHPA and NEPA compliance will continue to lengthen resulting in missed deadlines for contracting priority project work which will result in additional delays and costs to taxpayers. Priority repairs, maintenance, and construction of infrastructure projects will not be completed as quickly.","6/30/2026: NPS review complete. Ready for DOI review. 07/01/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2020 titled 'Cultural Resource Specialist - Priority Infrastructure and Resource Work,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",136526.71
